3,1,141.57,59.56,117.11,54.71,1,-1,-1,-1
3,2,-1.44,0.14,51.89,38.23,1,-1,-1,-1
3,3,207.98,21.86,57.38,34.18,1,-1,-1,-1
4,1,133.14,56.04,119.79,56.07,1,-1,-1,-1
4,2,-2.49,-0.00,50.23,37.15,1,-1,-1,-1
4,3,207.98,21.83,57.39,34.19,1,-1,-1,-1
5,1,125.56,53.73,120.28,56.41,1,-1,-1,-1
5,2,-2.78,-0.04,48.04,35.72,1,-1,-1,-1
5,3,208.10,21.80,57.13,34.03,1,-1,-1,-1
6,1,119.50,52.05,119.35,56.20,1,-1,-1,-1
6,2,-3.19,-0.04,45.90,34.39,1,-1,-1,-1
6,3,208.14,21.75,57.11,34.02,1,-1,-1,-1
7,1,114.48,50.62,115.50,54.54,1,-1,-1,-1
7,2,-3.81,-0.04,43.70,33.10,1,-1,-1,-1
7,3,208.36,21.80,56.83,33.84,1,-1,-1,-1
8,1,109.71,49.64,111.05,52.67,1,-1,-1,-1
8,2,-4.53,-0.03,41.69,32.07,1,-1,-1,-1
8,3,208.58,21.88,56.57,33.68,1,-1,-1,-1
9,1,105.04,47.84,109.05,51.79,1,-1,-1,-1
9,2,-4.74,-0.03,39.46,30.88,1,-1,-1,-1
9,3,208.56,21.89,56.67,33.73,1,-1,-1,-1
10,1,98.44,45.94,110.12,52.47,1,-1,-1,-1
10,2,-5.29,0.08,37.30,29.94,1,-1,-1,-1
10,3,208.51,21.89,56.81,33.82,1,-1,-1,-1
11,1,92.53,44.27,109.62,52.43,1,-1,-1,-1
11,2,-5.35,0.02,34.16,28.12,1,-1,-1,-1
11,3,208.51,21.90,56.86,33.85,1,-1,-1,-1
12,1,87.64,42.43,108.52,52.17,1,-1,-1,-1
12,2,-5.36,-0.00,31.56,26.73,1,-1,-1,-1
12,3,208.47,21.84,56.99,33.93,1,-1,-1,-1
13,1,83.29,40.98,106.09,51.18,1,-1,-1,-1
13,2,-5.85,-0.01,29.30,25.72,1,-1,-1,-1
13,3,208.41,21.82,57.08,34.00,1,-1,-1,-1
14,1,78.96,39.25,104.02,50.31,1,-1,-1,-1
14,2,-5.79,-0.01,26.25,24.02,1,-1,-1,-1
14,3,208.38,21.79,57.17,34.07,1,-1,-1,-1
15,1,73.70,37.32,102.29,49.66,1,-1,-1,-1
